No Faqs find.,Keine FAQs finden.
FAQs,FAQs
Click on the Faq's topic:,Klicken Sie auf die Faq's Thema:
View all topics,Zeige alle Themen
Search Faq's:,Suche FAQ's:
Search,Suche
Ask a Question,Stellen Sie eine Frage
Name,Name
Email,Email
Question ?,Frage?
Security Code Message:,Sicherheitscode Nachricht:
If you have difficulty in reading the image above then refresh your browser a few times until you see an image that is clear enough to copy.,"Wenn Sie Zeit haben Schwierigkeiten beim Lesen das Bild oben, dann aktualisieren Sie Ihren Browser ein paar, bis Sie ein Bild, das Exemplar ist deutlich genug zu."
Submit,Senden
Ask Question,Bitte fragen Sie uns
No Faqs Found in this topic!,Keine FAQs gefunden in diesem Thema!
Product FAQs,Product FAQs
Loading...,Loading...
Ask a Question,Stellen Sie eine Frage
FAQs Search Result,FAQs Suchergebnisse
No Faq Found!,Keine FAQ!
FAQ's Categories,FAQ's Kategorien
No Category find yet!,Keine Kategorie noch finden!
Go to Home Page,Zur Startseite
Home,Startseite
Please Enter your Name.,Geben Sie Ihren Namen.
Please Enter a valid Email Address.,Geben Sie eine gültige E-Mail-Adresse.
Please ask some thing.,Bitte fragen Sie irgendeine Sache.
Please Enter verification text.,Bitte geben Überprüfung Text.
Sorry The Security Code You Entered Was Incorrect.,Sorry Der Sicherheitsrat von Ihnen eingegebene Code ist falsch.
There is some issue try again later.,Es gibt einige Problem später erneut versuchen
Question,Frage
Status,Status
Enabled,Aktiviert
Disabled,Behinderte
Question Type,Art der Frage
General Question,General Question Allgemeine Frage
Product Question,Product Question Frage zum Produkt
Add in Topic,Fügen Sie in Topic
Answer,Antwort
Faqs Management,Faqs Management
Faq Information,FAQ-Informationen
Apply to Products,Gelten Erzeugnisse
Save Faq,Sparen Sie Faq
Delete Faq,Löschen Faq
Add Faq,Schreibe Faq
Title,Titel
SEO URL Identifier,SEO URL Identifier
Store View,Store View
Sort Order,Sortierung
Topics Management,Themen Management
Topic Information,Thema Information
Save Topic,Sparen Topic
Delete Topic,Thema löschen
Add Topic,Thema hinzufügen
Faqs Management,Faqs Management
Add New Faq,Add New Faq
Add New Topic,Neues Thema hinzufügen
Manage Faqs,Verwalten Faqs
Faq does not exist,Faq existiert nicht
Faq was successfully saved,FAQ wurde erfolgreich gespeichert
Faq was successfully deleted,FAQ wurde erfolgreich gelöscht
Please select Faq(s),Bitte wählen Sie Faq (s)
Manage Topics,Verwalten Themen
Topic was successfully saved,Topic wurde erfolgreich gespeichert
Topic was successfully deleted,Topic wurde erfolgreich gelöscht
Please select Topic(s),Bitte wählen Topic (s)
Manage Faq Topics,Verwalten FAQ-Themen
Manage Faqs,Verwalten Faqs
