"Album Manager", "Album Manager"
"ID", "ID"
"Thumbnail", "Thumbnail"
"Album","Album"
"Add Album","Add Album"
"Save Order","Save Order"
"Parent","Parent"
"Order","Order"
"Status","Status"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Change status","Change status"
"Title","Title"
"Photo Manager","Photo Manager"
"Add Photo","Add Photo"
"Review Manager","Review Manager"
"Add Review","Add Review"
"Create on","Create on"
"Name","Name"
"Email","Email"
"Review","Review"
"Photo id","Photo id"
"Type","Type"
"Pending","Pending"
"Approved","Approved"
"Not Approved","Not Approved"
"Guest","Guest"
"Customer","Customer"
"Admin","Admin"
"Gallery Pro","Gallery Pro"

// configuration
"Enable Photo Gallery Pro", "Enable Photo Gallery Pro"
"General Settings","General Settings"
"Album Suffix (ex. html,… etc)","Album Suffix (ex. html,… etc)"
"Photo Suffix (ex. html,… etc)","Photo Suffix (ex. html,… etc)"
"Detail View Thumbnail Fill Color","Detail View Thumbnail Fill Color"
"Simple View Thumbnail Fill Color","Simple View Thumbnail Fill Color"
"Album Thumbnail Size (w-h)px","Album Thumbnail Size (w-h)px"
"Admin Thumbnail Size (w-h)px","Admin Thumbnail Size (w-h)px"
"Allowed Photos Per Page","Allowed Photos Per Page"
"Photo Per Page Default Value","Photo Per Page Default Value"
"Show Album Updated Date","Show Album Updated Date"
"Show Total Photos Of Album On Page","Show Total Photos Of Album On Page"
"Enable 'Search Gallery' Function", "Enable 'Search Gallery' Function"

"Album Default Configuration","Album Default Configuration"
"Detail View Photo Thumbnail Size (w-h)px","Detail View Photo Thumbnail Size (w-h)px"
"Simple View Photo Thumbnail Size (w-h)px","Simple View Photo Thumbnail Size (w-h)px"
"Slideshow Size (w-h)px","Slideshow Size (w-h)px"
"Show Photo Title","Show Photo Title"
"Show Photo Description","Show Photo Description"
"Enable Photo Link","Enable Photo Link"
"Show Photo Updated Date","Show Photo Updated Date"
"Author Information","Author Information"
"Album Name","Album Name"
"Album image","Album image"
"URL Key (suffix)","URL Key (suffix)"
"Parent Album","Parent Album"
"Store View","Store View"
"Featured","Featured"
"Description","Description"
"Top Description", "Top Description"
"Bottom Description","Bottom Description"
"Album Information","Album Information"
"Edit Album","Edit Album"
"Album Configuration","Album Configuration"
"Photo thumbnail size (w-h)px","Photo thumbnail size (w-h)px"
"Slideshow size (w-h)px","Slideshow size (w-h)px"
"Slideshow Delay Time", "Slideshow Delay Time"
"Manager Albums","Manager Albums"
"Manager Photos","Manager Photos"
"Manager Reviews","Manager Reviews"
"Use Default Album Configuration","Use Default Album Configuration"
"Save","Save"
"Delete","Delete"
"Back to","Back to"
"Back to Home","Back to Home"
"View All","View All"
"Photo %s of %s", "Photo %s of %s"
"rates","rates"
"Photo","Photo"
"Reviews","Reviews"
"Write review","Write review"
"wrote","wrote"
"Rate:","Rate:"
"Customer Name", "Customer Name"
"Customer Email", "Customer Email"
"Name:","Name:"
"Email:","Email:"
"Comment:","Comment:"
"Submit","Submit"
"Rate This!","Rate This!"
"Slide show","Slide show"
"Detail","Detail"
"Simple","Simple"
"View as","View as"
"Item(s)","Item(s)"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Show","Show"
"Page:","Page:"
"per page","per page"
"Sort by","Sort by"
"Default","Default"
"Rate","Rate"
"Name","Name"
"do not change current and total below"
"image {current} of {total}","image {current} of {total}"
"start slideshow","start slideshow"
"stop slideshow","stop slideshow"
"Review was successfully sended and waiting admin approve","Review was successfully sended and waiting admin approve"
"No review found.","No review found."

