"Ajax Contacts","Ajax Contacts"
"Space for button before window top edge","Space for button before window top edge"
"Cancel","Cancel"
"Enabled","Enabled"
"General","General"
"Height","Height"
"in pixels","in pixels"
"MagPleasure Extensions","MagPleasure Extensions"
"Submit","Submit"
"Width","Width"
"Contact Form Window Configuration","Contact Form Window Configuration"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
