"Add New Row","Añadir una fila nueva"
"Upload Files","Cargar archivos"
"All Files","Todos los archivos"
Attachments,"Archivos adjuntos"
"Edit Custom Template","Modificar la plantilla personalizada"
"Create Custom Template","Crear una plantilla personalizada"
"No Templates Found","No hay plantillas encontradas"
"Default Template Name","Nombre de plantilla por defecto"
"Default Template File","Archivo de la plantilla predeterminada"
"Custom Template Name","Nombre de la plantilla personalizada"
Subject,Tema
Sender,Remitente
Action,Acción
Back,Volver
"Generate Templates","Generar plantillas"
"Replace In Custom Templates","Reemplazar en plantillas personalizadas"
"Default Config","Configuración predeteminada"
"E-mail Templates Manager","Administrador de plantillas de correo electrónico"
"Please choose Stores, which the Module`s functionality will be enabled for in System/Configuration/AITOC MODULES SETTINGS/Aitoc Module Manager/""Enable/Disable Modules Functionality""","Por favor, elija las tiendas, cuya funcionalidad del módulo se activará en el sistema/Configuración/AJUSTES DE MÓDULOS DE AITOC/Administrador de módulos de Aitoc/""Activar / Desactivar la funcionalidad de los módulos"""
"The selected scope is not available for the current license configuration. Available scope is selected automatically.","El ámbito seleccionado no está disponible para la configuración de la licencia actual. El ámbito de aplicación disponible se selecciona de forma automática.,El ámbito seleccionado no está disponible para la configuración de la licencia actual. El ámbito de aplicación disponible se selecciona de forma automática."
"Store Transactional Emails","Almacenar correos eletrónicos transacionales"
"Templates generated. Total %s entries replaced.","Las plantillas han sido generadas. El total de %s entradas sustituidas."
"Replace complete. Total %s entries replaced.","El reemplazo ha sido completado. Total de %s entradas sustituidas."
"Transactional Emails","Correos electrónicos transaccionales"
"Aitemails Module","Módulo de Aitemails"
"Allow Everything","Permitir todo"
"Email template manager","Administrador de plantillas de correo electrónico"
"Custom template saved successfully","La plantilla personalizada ha sido guardada correctamente"
"Replace In Templates","Reemplazar en plantillas"
"Are you sure you want to overwrite existing custom templates?","¿Está seguro de que desea sobrescribir las plantillas personalizadas existentes?"
"Replace default entries","Reemplazar las entradas por defecto"
"Note that leading and trailing spaces (if any)  will not be trimmed","Tenga en cuenta que espacios iniciales y finales (si hay) no van a ser recortados"
"Delete existing custom templates for this store view","Eliminar plantillas personalizadas existentes para esta vista de tienda"
Find,Encontrar
"Replace with","Reemplazar con"
"Replace in custom templates","Reemplazar en plantillas personalizadas"
"Add one more row","Añadir una fila más"
"Current Configuration Scope:","Ámbito de aplicación de configuración actual:"
"Locale: ",Sitio:
"(all symbols except letters and digits will be removed)","(todos los símbolos excepto las letras y dígitos serán eliminados)"
"Attachment Name","Nombre del archivo adjunto"
File,Archivo
"Sort Order","Orden de Clasificación"
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Este contenido requiere la última versión de Adobe Flash Player. <a href=""%s"">Obtener Flash</a>"
