"Add New Row","Aggiungere la riga nuova"
"Upload Files","Caricare file"
"All Files","Tutti i file"
Attachments,Allegati
"Edit Custom Template","Modificare Modello del Cliente"
"Create Custom Template","Creare Modello del Cliente"
"No Templates Found","Modelli non sono trovati"
"Default Template Name","Nome del Modello Default"
"Default Template File","File del Modello Default"
"Custom Template Name","Nome del Modello del Cliente"
Subject,Soggetto
Sender,Mittente
Action,Azione
Back,Tornare
"Generate Templates","Generare Modelli"
"Replace In Custom Templates","Sostituire in Modelli del Cliente"
"Default Config","Configurazione Default"
"E-mail Templates Manager","Manager dei Modelli E-mail"
"Please choose Stores, which the Module`s functionality will be enabled for in System/Configuration/AITOC MODULES SETTINGS/Aitoc Module Manager/""Enable/Disable Modules Functionality""","Seleziona Negozi, la funzionalita` dei Moduli dei quali saranno attivati nel Sistema/Configurazione/IMPOSTAZIONI DI AITOC MODULI/Manager di Moduli Aitoc/""Attivare/Disattivare Funzionalita` di Moduli"""
"The selected scope is not available for the current license configuration. Available scope is selected automatically.","Il campo di applicazione selezionato non e` disponibile per la configurazione attuale di licenza. Disponibile campo di applicazione viene selezionato automaticamente."
"Store Transactional Emails","Emails di Negozio Transazionali"
"Templates generated. Total %s entries replaced.","Modelli sono generati. Totale %s voci sostituiti."
"Replace complete. Total %s entries replaced.","Sostituzione completata. Totale %s voci sostituiti."
"Transactional Emails","Emails di Transazioni"
"Aitemails Module","Aitemails Modulo"
"Allow Everything","Permettere tutto"
"Email template manager","Manager di modello E-mail"
"Custom template saved successfully","Modello del Cliente e` stato salvato"
"Replace In Templates","Sostituire in Modelli"
"Are you sure you want to overwrite existing custom templates?","Sei sicuro di voler sovrascrivere modelli di cliente esistenti?"
"Replace default entries","Sostituire le voci di default"
"Note that leading and trailing spaces (if any)  will not be trimmed","Nota che spazi iniziali e finali (se presenti) non saranno tagliati."
"Delete existing custom templates for this store view","Elimina modelli di cliente esistenti per questa vista di negozio."
Find,Trovare
"Replace with","Sostituire con"
"Replace in custom templates","Sostituire nel modello di cliente"
"Add one more row","Aggiungi ancora una riga"
"Current Configuration Scope:","Configurazione attuale del campo di applicazione:"
"Locale: ","Locale: "
"(all symbols except letters and digits will be removed)","(Tutti i simboli tranne le lettere e le cifre verranno rimossi)"
"Attachment Name","Nome dell'Allegato"
File,File
"Sort Order","Assortire Ordine"
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Il contenuto di questa pagina richiede ultima versione di Adobe Flash Player <a href=""%s"">Scarica Flash</a>"
